microphone,file_name,identity,natural_tone,intimate_tone,consonants,noise_floor,room_reflections,plosives,crackles_or_pops,overall,decision,notes
Scarlett Studio,KVM1_MIC_A_SCARLETT_TEST_RAW.wav,,,,,,,,,,,pending,
Warm condenser,KVM1_MIC_B_WARM_CONDENSER_TEST_RAW.wav,,,,,,,,,,,pending,
